YYYY-QQ,SITES_STOPPED,SITES_IDENTIFIED,ILLEGAL_EXP_EVENT,Illegal export inspections,Illegal export - returned to waste site,RECYCLE_MIXEDPAPER_£,RECYCLE_NEWSPAPER_£,RECYCLE_MIXGLASS_£,RECYCLE_STEELCANS_£,RECYCLE_ALUMCANS_£,RECYCLE_PLASTICBOTTLE_£,HOUSEWASTE_T,RECYCLE_P,DRYRECYCLE_Percentage,DISPOSAL_Percentage,LA_COLLECTWASTE_Tonnes,CPI_NOTNATIONAL_INDICIES_BASE2015,RPI_NOTNATIONAL_INDICIES_BASE1987,GDP_CURRENT_MARKETPRICE,POPULATION_ENGLAND,DWELLINGS_ENGLAND,TURNOVER(£M)_COLLECTION&TREATMENT&DISPOSAL&RECOVERY,"E : Water Supply; Sewerage, Waste Management and Remediation Activities (Index) (Seasonally adjusted) (2012 index year)","Water Supply; Sewerage,Waste Management & Remediation Act (period-period growth (Seasonally adjusted) index 2012",Landfill tax,gate-fee for landfill (MEDIAN),gate-fee for incineration,Total EA spend on enforcment,EA spend on Illegal waste sites,EA spend on Illegal export of waste,Total EA spend on enforcment (time lag 1 qtr),EA spend on Illegal waste sites (time lag 1 qtr),EA spend on Illegal export of waste  (time lag 1 qtr),total spend cumulative previous 2 Qtrs,Gross Domestic Product: chained volume measures: Seasonally adjusted £m         ,Typical retail prices of petroleum products and a crude oil price index
2004-01,,,,,,0,0,0,0,0,0,0,0,0,0,0,75.9,183.8,73.8,,,,92.8,0.4,,,,,,,,,,,393247,81.76
2004-02,0,3,0,,,0,0,0,0,0,0,0,0,0,0,0,76.5,186.3,75.2,50194600,21684000,,96.2,3.6,,,,,,,,,,,395113,85.28
2004-03,0,19,0,,,0,0,0,0,0,0,0,0,0,0,0,76.6,187.4,75.8,,,,93.7,-2.5,,,,,,,,,,,395867,86.54
2004-04,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,77.1,189.2,76.7,,,,93.9,0.2,,,,,,,,,,,398259,89.43
2005-01,0,11,1,,,0,0,0,0,0,0,0,0,0,0,0,77.3,189.7,77.6,,,,96.9,3.1,,,,,,,,,,,400558,87.62
2005-02,0,4,0,,,0,0,0,0,0,0,0,0,0,0,0,78,191.9,79.6,50606000,21870000,,98.3,1.5,,,,,,,,,,,404875,91.46
2005-03,0,12,0,,,0,0,0,0,0,0,0,0,0,0,0,78.4,192.6,80.3,,,,99,0.6,,,,,,,,,,,409270,96.96
2005-04,0,4,0,,,0,0,0,0,0,0,0,0,0,0,0,78.8,193.7,82.1,,,,99.6,0.6,,,,,,,,,,,414816,97.58
2006-01,0,5,0,,,0,0,0,0,0,0,0,0,0,0,0,78.7,194.2,83.2,,,,95.8,-3.8,,,,,,,,,,,416183,96.05
2006-02,0,28,0,,,0,0,0,0,0,0,0,0,0,0,0,79.8,197.6,84.1,50965200,22073000,,96.5,0.8,,,,,,,,,,,417146,101.05
2006-03,0,26,1,,,0,0,0,0,0,0,0,0,0,0,0,80.3,199.3,84.8,,,,95.9,-0.7,,,,,,,,,,,417741,100.78
2006-04,0,8,0,,,0,0,0,0,0,0,0,0,0,0,0,80.9,201.4,85.8,,,,97.4,1.6,,,,,,,,,,,419236,94.32
2007-01,0,32,1,,,0,0,0,0,0,0,0,0,0,0,0,81,203,87.4,,,,101.1,3.8,,,,,,,,,,,423472,94.94
2007-02,0,44,0,,,0,0,0,0,0,0,0,0,0,0,0,81.8,206.3,88.4,51381100,22288000,,99.9,-1.1,,,,,,,,,,,426600,100.34
2007-03,0,51,0,,,0,0,0,0,0,0,0,0,0,0,0,81.7,207.1,89.8,,,,99.1,-0.8,,,,,,,,,,,429845,101.35
2007-04,0,36,1,,,0,0,0,0,0,0,0,0,0,0,0,82.6,209.8,91,,,,100.9,1.8,,,,,,,,,,,433079,104.96
2008-01,0,46,2,,,0,0,0,0,0,0,0,0,0,0,0,82.9,211.1,92.2,,,,101.6,0.7,32,22,,,,,,,,,433710,111.31
